train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr,epoch_time_s
0.9026206536121603,0.7907559071144048,0.08941605839416059,0.08272058823529412,1.0,0.15280135823429541,1e-05,0.6809999942779541
0.8967707124428582,0.7862257927003569,0.09306569343065693,0.08302583025830258,1.0,0.15332197614991483,1e-05,0.6789982318878174
0.8924592140156251,0.7816801018958545,0.10766423357664233,0.08426966292134831,1.0,0.15544041450777202,1e-05,0.7180004119873047
0.8870837709310491,0.7774894324532391,0.13138686131386862,0.08637236084452975,1.0,0.15901060070671377,1e-05,0.7049992084503174
0.880959252760787,0.7728921897219916,0.19525547445255476,0.09259259259259259,1.0,0.1694915254237288,1e-05,0.687999963760376
0.8745751092201601,0.768221938697091,0.2937956204379562,0.10416666666666667,1.0,0.18867924528301888,1e-05,0.6859989166259766
0.8678136095757065,0.7634714276251131,0.4233576642335766,0.12465373961218837,1.0,0.22167487684729065,1e-05,0.7209968566894531
0.8607025680501391,0.758098271641418,0.5565693430656934,0.15625,1.0,0.2702702702702703,1e-05,0.7019991874694824
0.8540217738841769,0.7526126147186669,0.6642335766423357,0.19383259911894274,0.9777777777777777,0.3235294117647059,1e-05,0.6880004405975342
0.8464488160982375,0.7472199053659926,0.7372262773722628,0.23529411764705882,0.9777777777777777,0.3793103448275862,1e-05,0.6949996948242188
0.837423036317275,0.7413279322812157,0.7974452554744526,0.2857142857142857,0.9777777777777777,0.44221105527638194,1e-05,0.7339966297149658
0.8297022857977291,0.7347175039514138,0.8302919708029197,0.3235294117647059,0.9777777777777777,0.4861878453038674,1e-05,0.6870009899139404
0.8193326185870644,0.7279636812036054,0.8667883211678832,0.3793103448275862,0.9777777777777777,0.546583850931677,1e-05,0.6719980239868164
0.8101108956697873,0.720493188739693,0.885036496350365,0.4117647058823529,0.9333333333333333,0.5714285714285714,1e-05,0.6820013523101807
0.8001401943199569,0.7132032866025493,0.9032846715328468,0.45555555555555555,0.9111111111111111,0.6074074074074074,1e-05,0.7120001316070557
0.7903869051694193,0.7055030021354229,0.9142335766423357,0.4880952380952381,0.9111111111111111,0.6356589147286822,1e-05,0.6780002117156982
0.7792018842561806,0.6970366539746305,0.9306569343065694,0.5466666666666666,0.9111111111111111,0.6833333333333333,1e-05,0.6849980354309082
0.7675194035979409,0.6884633111257623,0.9379562043795621,0.5774647887323944,0.9111111111111111,0.7068965517241379,1e-05,0.7009997367858887
0.7571810277543659,0.6789801573231272,0.9507299270072993,0.640625,0.9111111111111111,0.7522935779816514,1e-05,0.6999993324279785
0.7456515323698464,0.6694905640435045,0.958029197080292,0.6833333333333333,0.9111111111111111,0.780952380952381,1e-05,0.706000804901123
0.7331767860401771,0.6596819453865942,0.9616788321167883,0.7068965517241379,0.9111111111111111,0.7961165048543689,1e-05,0.7299985885620117
0.7209095326706048,0.6494494650485741,0.9598540145985401,0.7017543859649122,0.8888888888888888,0.7843137254901961,1e-05,0.6910004615783691
0.7086357577521506,0.6392124586731848,0.9598540145985401,0.7017543859649122,0.8888888888888888,0.7843137254901961,1e-05,0.6900041103363037
0.6968555368673384,0.6288795623466046,0.9598540145985401,0.7017543859649122,0.8888888888888888,0.7843137254901961,1e-05,0.711998462677002
0.68433484437901,0.6179155211379058,0.9598540145985401,0.7017543859649122,0.8888888888888888,0.7843137254901961,1e-05,0.7050018310546875
0.6704948891303172,0.60654121245781,0.9616788321167883,0.7142857142857143,0.8888888888888888,0.7920792079207921,1e-05,0.6980016231536865
0.6581102919217654,0.5952551804319786,0.9635036496350365,0.7272727272727273,0.8888888888888888,0.8,1e-05,0.6759991645812988
0.6452145837000663,0.5837063954694428,0.9635036496350365,0.7272727272727273,0.8888888888888888,0.8,1e-05,0.6819972991943359
0.6324782351220455,0.5722867215636873,0.9671532846715328,0.7454545454545455,0.9111111111111111,0.82,1e-05,0.7110037803649902
0.6210829230446576,0.5611278171086833,0.9671532846715328,0.7454545454545455,0.9111111111111111,0.82,1e-05,0.7079992294311523
0.6071299069200694,0.5497763870406325,0.9708029197080292,0.7636363636363637,0.9333333333333333,0.84,1e-05,0.7379999160766602
0.5944527177282855,0.5387675757825809,0.9671532846715328,0.7368421052631579,0.9333333333333333,0.8235294117647058,1e-05,0.7320013046264648
0.5819472123004404,0.5280191863540316,0.9653284671532847,0.7241379310344828,0.9333333333333333,0.8155339805825242,1e-05,0.7250001430511475
0.5682498684669285,0.5173404773656469,0.9635036496350365,0.711864406779661,0.9333333333333333,0.8076923076923077,1e-05,0.6929988861083984
0.5579310722134535,0.5065342557691309,0.9635036496350365,0.711864406779661,0.9333333333333333,0.8076923076923077,1e-05,0.6970005035400391
0.5443066792772305,0.4958723322318418,0.9635036496350365,0.711864406779661,0.9333333333333333,0.8076923076923077,1e-05,0.7960014343261719
0.5303557151990221,0.4851425220496463,0.9635036496350365,0.711864406779661,0.9333333333333333,0.8076923076923077,1e-05,0.6720025539398193
0.5189860132130791,0.4747575369194476,0.9635036496350365,0.711864406779661,0.9333333333333333,0.8076923076923077,1e-05,0.7070016860961914
0.506078841162946,0.46485863897922264,0.9616788321167883,0.7,0.9333333333333333,0.8,1e-05,0.7279996871948242
0.4938965858495111,0.4555799543422504,0.9598540145985401,0.6885245901639344,0.9333333333333333,0.7924528301886793,1e-05,0.7220029830932617
0.48231687958554037,0.4460498764567132,0.9562043795620438,0.6666666666666666,0.9333333333333333,0.7777777777777778,1e-05,0.6899986267089844
0.4702512840956252,0.4365510261841934,0.9562043795620438,0.6615384615384615,0.9555555555555556,0.7818181818181819,1e-05,0.6999998092651367
0.45972442023575927,0.42729348335823003,0.9562043795620438,0.6615384615384615,0.9555555555555556,0.7818181818181819,1e-05,0.7230000495910645
