train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr,epoch_time_s
0.6508844112774732,0.30596265337683937,0.9327272727272727,0.5542168674698795,1.0,0.7131782945736435,0.001,0.7789983749389648
0.23980603118267618,0.3237900785966353,0.96,0.6764705882352942,1.0,0.8070175438596491,0.001,0.7210025787353516
0.22810392262186774,0.2748906818303195,0.9672727272727273,0.71875,1.0,0.8363636363636363,0.001,0.7119975090026855
0.2117907080372889,0.315622764934193,0.9327272727272727,0.5542168674698795,1.0,0.7131782945736435,0.001,0.7029998302459717
0.20677371918027312,0.2598111152648926,0.9727272727272728,0.7540983606557377,1.0,0.8598130841121495,0.001,0.7140007019042969
0.20267581542145,0.24951859712600707,0.9727272727272728,0.7540983606557377,1.0,0.8598130841121495,0.001,0.7449991703033447
0.1991241720479507,0.2446419830755754,0.9781818181818182,0.8269230769230769,0.9347826086956522,0.8775510204081632,0.001,0.7170028686523438
0.2025482112941814,0.24674473675814543,0.9781818181818182,0.7931034482758621,1.0,0.8846153846153846,0.001,0.7520010471343994
0.19526981885915898,0.2419346168908206,0.98,0.8070175438596491,1.0,0.8932038834951457,0.001,0.7520010471343994
0.19239551788980147,0.252227012460882,0.9745454545454545,0.7666666666666667,1.0,0.8679245283018868,0.001,0.7190020084381104
0.19184761713615767,0.24390081145546652,0.98,0.8181818181818182,0.9782608695652174,0.8910891089108911,0.001,0.6829991340637207
0.18980404349747082,0.27319600603797217,0.9672727272727273,0.71875,1.0,0.8363636363636363,0.001,0.7259976863861084
0.18849835823252162,0.31394203706221147,0.9563636363636364,0.6571428571428571,1.0,0.7931034482758621,0.0005,0.6760022640228271
0.19322960854084173,0.2725884385542436,0.9709090909090909,0.7419354838709677,1.0,0.8518518518518519,0.0005,0.7869977951049805
0.1917938216322418,0.2507724905014038,0.98,0.8181818181818182,0.9782608695652174,0.8910891089108911,0.0005,0.7510004043579102
0.1874913995488139,0.2592631721496582,0.9745454545454545,0.7758620689655172,0.9782608695652174,0.8653846153846154,0.0005,0.7150001525878906
